country,country_code,year,sector_level,sector_code,sector,gas,unit,emissions_value
Austria,AUT,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.032656
Austria,AUT,2009,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.352169
Austria,AUT,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,299.28292
Austria,AUT,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,71860.16876
Austria,AUT,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.462171
Austria,AUT,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,12.13824
Austria,AUT,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.003853
Austria,AUT,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.070536
Austria,AUT,2010,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.346182
Austria,AUT,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,290.94164
Austria,AUT,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,69818.71703
Austria,AUT,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.558364
Austria,AUT,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,12.46694
Austria,AUT,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.00384
Austria,AUT,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.066449
Austria,AUT,2011,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.316785
Austria,AUT,2012,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,286.09847
Austria,AUT,2012,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,67116.11945
